Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

04:32:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:32:50 AM  all   24.26    0.00   22.43    0.00    0.00    0.00    0.00    0.00   53.31
04:32:51 AM  all   18.90    0.00   22.83    0.00    0.00    0.39   18.90    0.00   38.98
04:32:52 AM  all   17.78    0.00   25.19    0.00    0.00    0.00   13.33    0.00   43.70
04:32:53 AM  all    8.61    0.00   23.84    0.00    0.00    0.00   14.90    0.00   52.65
04:32:54 AM  all    0.00    0.00    0.51    0.00    0.00    0.00    0.76    0.00   98.74
04:32:55 AM  all    0.25    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.50
04:32:56 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:32:57 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:59 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:01 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:06 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:09 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:10 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:33:11 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:12 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:13 AM  all    2.07    0.00    1.30    0.00    0.00    0.00    0.00    0.00   96.63
04:33:14 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.25    0.00   99.50
04:33:15 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
04:33:16 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:18 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:19 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:33:20 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:21 AM  all    4.55    0.00    1.87    0.00    0.00    0.00    0.00    0.00   93.58
04:33:22 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:23 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:24 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:27 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:30 AM  all    5.35    0.00    1.87    0.53    0.00    0.00    0.00    0.00   92.25
04:33:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:32 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:34 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:38 AM  all    4.29    0.00    2.68    0.00    0.00    0.00    0.00    0.00   93.03
04:33:39 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:33:40 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.25    0.00   99.25
04:33:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:46 AM  all    4.53    0.00    2.67    0.00    0.00    0.00    0.00    0.00   92.80
04:33:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:48 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:49 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:33:50 AM  all    0.25    0.00    0.25    0.50    0.00    0.00    0.25    0.00   98.74
04:33:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:52 AM  all    1.82    0.00    1.04    0.00    0.00    0.00    0.00    0.00   97.14
04:33:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:54 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
04:33:55 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:56 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:57 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:33:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:33:59 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:34:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:01 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:04 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:34:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:06 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:34:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:09 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:10 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:11 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:12 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:13 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:14 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:15 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:16 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
04:34:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:18 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:19 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:20 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:21 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:23 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:24 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:34:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:29 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
04:34:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:34 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:34:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:34:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
