Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

01:12:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:14:05 AM  all    3.98    0.00    2.65    0.53    0.00    0.27    0.00    0.00   92.57
01:14:06 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:08 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:14:09 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:14:10 AM  all    3.73    0.00    2.67    0.53    0.00    0.00    0.00    0.00   93.07
01:14:11 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:12 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:14:13 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:14 AM  all    2.07    0.00    1.30    0.00    0.00    0.00    0.00    0.00   96.63
01:14:15 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
01:14:16 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:18 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:19 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:14:20 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:21 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:23 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:24 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:29 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:14:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:40 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
01:14:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
01:14:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:49 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
01:14:50 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:55 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:56 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:57 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:14:59 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
01:15:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:15:01 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
