Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

03:46:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
03:46:09 AM  all   25.27    0.00   21.61    0.00    0.00    0.37    0.00    0.00   52.75
03:46:10 AM  all   19.84    0.00   23.02    0.00    0.00    0.00   17.46    0.00   39.68
03:46:11 AM  all   20.39    0.00   26.27    0.00    0.00    0.00   20.00    0.00   33.33
03:46:12 AM  all    6.83    0.00   24.57    0.00    0.00    0.00   16.72    0.00   51.88
03:46:13 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.25    0.00   99.50
03:46:14 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
03:46:15 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:16 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:17 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:18 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:46:19 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:20 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:21 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:23 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:24 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:26 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:31 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.50
03:46:32 AM  all    2.07    0.00    1.55    0.00    0.00    0.00    0.00    0.00   96.37
03:46:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:34 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
03:46:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:37 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:40 AM  all    4.51    0.00    2.39    0.00    0.00    0.00    0.00    0.00   93.10
03:46:41 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
03:46:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:43 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:44 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
03:46:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:46 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:48 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:49 AM  all    4.29    0.00    2.68    0.00    0.00    0.00    0.00    0.00   93.03
03:46:50 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:51 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:46:53 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:54 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
03:46:55 AM  all    0.00    0.00    0.00    0.00    0.00    0.25    0.00    0.00   99.75
03:46:56 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
