Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

02:07:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
02:08:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:33 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:08:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:36 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:40 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
02:08:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:42 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
02:08:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
02:08:44 AM  all    3.74    0.00    2.41    0.00    0.00    0.00    0.00    0.00   93.85
02:08:45 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
02:08:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:48 AM  all    1.81    0.00    1.04    0.00    0.00    0.00    0.00    0.00   97.15
02:08:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:50 AM  all    0.00    0.00    0.25    0.25    0.00    0.00    0.00    0.00   99.50
02:08:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:55 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
