Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	09/08/2013 	_x86_64_	(2 CPU)

04:54:16 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
04:55:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:23 AM  all    2.07    0.00    1.55    0.00    0.00    0.00    0.00    0.00   96.37
04:55:24 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:25 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:26 AM  all    0.00    0.00    0.00    0.76    0.00    0.00    0.00    0.00   99.24
04:55:27 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:30 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:31 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.75
04:55:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:34 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:35 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:36 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
04:55:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:41 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:42 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
04:55:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:45 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:46 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:47 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:50 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:53 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:55 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:56 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
04:55:57 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:55:58 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
04:55:59 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:00 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:01 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
04:56:02 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:03 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:04 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:05 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:06 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:07 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:56:08 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
