Linux 2.6.32-5-xen-amd64 (testbed-ssd) 	05/22/2014 	_x86_64_	(2 CPU)

12:28:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
12:29:21 AM  all    4.27    0.00    2.40    0.00    0.00    0.00    0.00    0.00   93.33
12:29:22 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:23 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:24 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:29:25 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
12:29:26 AM  all    3.41    0.00    1.31    0.26    0.00    0.00    0.00    0.00   95.01
12:29:27 AM  all    1.02    0.00    0.25    0.00    0.00    0.00    0.00    0.00   98.73
12:29:28 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:29 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:30 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.25    0.00   99.50
12:29:31 AM  all    1.81    0.00    1.55    0.26    0.00    0.00    0.00    0.00   96.37
12:29:32 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:33 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:34 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:35 AM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
12:29:36 AM  all    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   99.75
12:29:37 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:38 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:39 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:40 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:41 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:42 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:43 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:44 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:45 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:29:46 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:47 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:48 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:49 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:50 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:51 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:52 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:53 AM  all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.75
12:29:54 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:55 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:56 AM  all    0.00    0.00    0.00    0.25    0.00    0.25    0.00    0.00   99.50
12:29:57 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:58 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:29:59 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:30:00 AM  all    0.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00   99.50
12:30:01 AM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
